id;region_name;region_type
1;Республика Адыгея;Республика
2;Республика Башкортостан;Республика
102;Республика Башкортостан;Республика
702;Республика Башкортостан;Республика
3;Республика Бурятия;Республика
4;Республика Алтай;Республика
5;Республика Дагестан;Республика
6;Республика Ингушетия;Республика
7;Кабардино-Балкарская Республика;Республика
8;Республика Калмыкия;Республика
9;Карачаево-Черкесская Республика;Республика
10;Республика Карелия;Республика
11;Республика Коми;Республика
12;Республика Марий Эл;Республика
13;Республика Мордовия;Республика
14;Республика Саха (Якутия);Республика
15;Республика Северная Осетия — Алания;Республика
16;Республика Татарстан (Татарстан);Республика
116;Республика Татарстан (Татарстан);Республика
716;Республика Татарстан (Татарстан);Республика
17;Республика Тыва;Республика
18;Удмуртская Республика;Республика
19;Республика Хакасия;Республика
21;Чувашская Республика — Чувашия;Республика
121;Чувашская Республика — Чувашия;Республика
22;Алтайский край;Край
23;Краснодарский край;Край
93;Краснодарский край;Край
123;Краснодарский край;Край
193;Краснодарский край;Край
24;Красноярский край;Край
124;Красноярский край;Край
25;Приморский край;Край
125;Приморский край;Край
26;Ставропольский край;Край
126;Ставропольский край;Край
27;Хабаровский край;Край
28;Амурская область;Область
29;Архангельская область;Область
30;Астраханская область;Область
31;Белгородская область;Область
32;Брянская область;Область
33;Владимирская область;Область
34;Волгоградская область;Область
134;Волгоградская область;Область
35;Вологодская область;Область
36;Воронежская область;Область
136;Воронежская область;Область
37;Ивановская область;Область
38;Иркутская область;Область
138;Иркутская область;Область
39;Калининградская область;Область
40;Калужская область;Область
41;Камчатский край;Край
42;Кемеровская область;Область
142;Кемеровская область;Область
43;Кировская область;Область
44;Костромская область;Область
45;Курганская область;Область
46;Курская область;Область
47;Ленинградская область;Область
147;Ленинградская область;Область
48;Липецкая область;Область
49;Магаданская область;Область
50;Московская область;Область
90;Московская область;Область
150;Московская область;Область
190;Московская область;Область
750;Московская область;Область
790;Московская область;Область
51;Мурманская область;Область
52;Нижегородская область;Область
152;Нижегородская область;Область
53;Новгородская область;Область
54;Новосибирская область;Область
154;Новосибирская область;Область
55;Омская область;Область
56;Оренбургская область;Область
156;Оренбургская область;Область
57;Орловская область;Область
58;Пензенская область;Область
59;Пермский край;Край
159;Пермский край;Край
60;Псковская область;Область
61;Ростовская область;Область
161;Ростовская область;Область
761;Ростовская область;Область
62;Рязанская область;Область
63;Самарская область;Область
163;Самарская область;Область
763;Самарская область;Область
64;Саратовская область;Область
164;Саратовская область;Область
65;Сахалинская область;Область
66;Свердловская область;Область
96;Свердловская область;Область
196;Свердловская область;Область
67;Смоленская область;Область
68;Тамбовская область;Область
69;Тверская область;Область
70;Томская область;Область
71;Тульская область;Область
72;Тюменская область;Область
73;Ульяновская область;Область
173;Ульяновская область;Область
74;Челябинская область;Область
174;Челябинская область;Область
75;Забайкальский край;Край
76;Ярославская область;Область
77;Москва;Город
97;Москва;Город
99;Москва;Город
177;Москва;Город
197;Москва;Город
199;Москва;Город
777;Москва;Город
797;Москва;Город
799;Москва;Город
78;Санкт-Петербург;Город
98;Санкт-Петербург;Город
178;Санкт-Петербург;Город
198;Санкт-Петербург;Город
79;Еврейская автономная область;Область
80;ДНР;Другое
81;ЛНР;Другое
82;Республика Крым;Республика
83;Ненецкий автономный округ;Автономный округ
84;Херсонская область;Область
85;Запорожская область;Область
86;Ханты-Мансийский автономный округ — Югра;Автономный округ
186;Ханты-Мансийский автономный округ — Югра;Автономный округ
87;Чукотский автономный округ;Автономный округ
94;Зарубежные территории, обслуживаемые МВД РФ;Другое
88;Зарубежные территории, обслуживаемые МВД РФ;Другое
89;Ямало-Ненецкий автономный округ;Автономный округ
92;Севастополь;Город
95;Чеченская республика;Республика
